,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,FUNCSTAT,2010,2011,2012,2013,2014,2015,2016
190,Oroville,Oroville,CA,California,6009,Calaveras,38.3791,-120.5146,A,45462,45106,44760,44577,44589,44840,45171
191,Wallace,Wallace,CA,California,6011,Colusa,39.2771,-122.1946,A,21446,21366,21323,21322,21256,21318,21588
192,Arbuckle,Arbuckle,CA,California,6013,Contra Costa,37.9084,-122.2805,A,1052875,1066126,1078242,1094030,1108996,1123231,1135127
193,San Pablo,San Pablo,CA,California,6015,Del Norte,41.7937,-124.0661,A,28562,28466,28212,27837,27252,27301,27540
194,Smith River,Smith River,CA,California,6017,El Dorado,38.6737,-120.9872,A,181153,180863,180558,181427,183031,184359,185625
195,Pilot Hill,Pilot Hill,CA,California,6019,Fresno,36.8006,-120.0199,A,932463,940496,946844,953762,963151,972130,979915
196,Kingsburg,Kingsburg,CA,California,6021,Glenn,39.6002,-122.5376,A,28109,28186,27938,27915,27982,27961,28085
197,Orland,Orland,CA,California,6023,Humboldt,40.9722,-124.025,A,135032,135243,134663,134555,134665,135383,136646
198,Ferndale,Ferndale,CA,California,6025,Imperial,33.4041,-116.0394,A,174751,176227,177287,177194,178866,179806,180883
199,Imperial,Imperial,CA,California,6027,Inyo,36.4277,-116.8747,A,18513,18403,18408,18418,18410,18251,18144
200,Olancha,Olancha,CA,California,6029,Kern,35.298,-119.625,A,841676,849484,855808,864454,872138,879497,884788
201,Boron,Boron,CA,California,6031,Kings,36.1885,-119.8223,A,152368,151895,151042,150480,149669,150331,149785
202,Avenal,Avenal,CA,California,6033,Lake,39.1653,-122.9052,A,64743,64242,63942,63776,64099,64446,64116
203,Cobb,Cobb,CA,California,6035,Lassen,40.7985,-120.3652,A,34838,34288,33662,32144,31714,31333,30870
204,Herlong,Herlong,CA,California,6037,Los Angeles,34.0585,-117.7625,A,9825473,9888476,9953555,10015436,10066615,10112255,10137915
205,Montebello,Montebello,CA,California,6039,Madera,37.3652,-119.7194,A,151099,151962,151947,151811,154071,154306,154697
206,Coarsegold,Coarsegold,CA,California,6041,Marin,38.0052,-122.6384,A,252946,255457,256064,258506,260516,261054,260651
207,Novato,Novato,CA,California,6043,Mariposa,37.4873,-119.9682,A,18260,18188,17858,17746,17658,17553,17410
208,Wawona,Wawona,CA,California,6045,Mendocino,39.8635,-123.7253,A,87807,87442,87409,87207,87449,87353,87628
209,Anchor Bay,Anchor Bay,CA,California,6047,Merced,37.3969,-120.8499,A,256831,259678,261430,262661,265139,267101,268672
210,Volta,Volta,CA,California,6049,Modoc,41.646,-121.328,A,9695,9497,9328,9100,9010,8933,8795
211,Likely,Likely,CA,California,6051,Mono,37.55,-118.7087,A,14246,14407,14325,14020,14045,13885,13981
212,Toms Place,Toms Place,CA,California,6053,Monterey,36.4824,-121.7198,A,416415,421157,425799,428064,429902,432007,435232
213,Soledad,Soledad,CA,California,6055,Napa,38.5044,-122.4681,A,136813,137940,138898,140102,141097,141854,142166
